用户ID,年龄,历史购买次数,是否会员,ITE,客户类型
U00020385,27,1.0,1,0.0687271549854804,自然转化型
U00003273,39,3.0,1,0.10737249504843743,敏感型
U00024050,28,0.0,0,0.06710074970538885,自然转化型
U00074745,23,0.0,0,0.02760754644339697,自然转化型
U00017561,45,2.0,1,0.04917561902444853,自然转化型
U00067534,44,5.0,0,0.09824220136695383,自然转化型
U00037537,34,1.0,1,0.090971676249546,自然转化型
U00002519,30,4.0,0,0.12585293272679515,敏感型
U00094988,31,3.0,1,0.13866405664772213,敏感型
U00068585,33,10.0,0,0.08889344552809875,自然转化型
U00078125,24,0.0,1,0.033571730668115335,自然转化型
U00010782,18,3.0,1,0.10072244708445566,自然转化型
U00026732,32,2.0,0,0.07339917785223751,自然转化型
U00051330,27,4.0,1,0.13794647168409807,敏感型
U00004292,28,1.0,0,0.09095926657479564,自然转化型
U00080939,19,4.0,0,0.12128846736375665,敏感型
U00097575,47,1.0,0,0.06369097813411134,自然转化型
U00094717,32,2.0,0,0.08995628677089262,自然转化型
U00088966,48,1.0,1,0.05882287609729933,自然转化型
U00063118,37,2.0,0,0.06719371740851329,自然转化型
U00088790,34,1.0,1,0.10539578629385787,敏感型
U00094423,34,6.0,0,0.125420940233895,敏感型
U00055297,29,3.0,1,0.11362688340421379,敏感型
U00087089,39,8.0,0,0.12183067305391854,敏感型
U00003253,37,1.0,1,0.06740284714215683,自然转化型
U00074854,19,2.0,1,0.06629998239122789,自然转化型
U00077386,25,1.0,1,0.051943949070256484,自然转化型
U00061434,24,4.0,1,0.13726062195120092,敏感型
U00046587,48,7.0,0,0.12394605730919023,敏感型
U00044335,34,7.0,1,0.15052922570271104,敏感型
U00072048,18,0.0,0,0.00784609485075105,自然转化型
U00008805,35,5.0,1,0.11573830636746046,敏感型
U00090240,46,3.0,0,0.12292649812804385,敏感型
U00051661,26,5.0,0,0.07854275492701257,自然转化型
U00004285,25,3.0,0,0.08774929341445942,自然转化型
U00033846,36,2.0,1,0.0756073401875475,自然转化型
U00071132,48,0.0,1,0.031686585924905336,自然转化型
U00046162,28,3.0,1,0.12847575447040027,敏感型
U00027078,31,8.0,1,0.13226074849335756,敏感型
U00003638,34,3.0,1,0.08750428318465103,自然转化型
U00085485,30,0.0,0,0.052619309050696395,自然转化型
U00095026,30,0.0,0,0.056978539696603187,自然转化型
U00046612,27,1.0,1,0.07942033294635084,自然转化型
U00061894,22,4.0,0,0.15070231499078163,敏感型
U00081395,45,2.0,1,0.05656462538597479,自然转化型
U00035624,31,2.0,1,0.09197141668177572,自然转化型
U00062545,18,0.0,1,0.01336208630882052,自然转化型
U00026998,25,1.0,1,0.06302491640818103,自然转化型
U00037584,32,4.0,1,0.11948230942601934,敏感型
U00095701,29,3.0,0,0.13923470274306265,敏感型
U00008355,49,0.0,0,0.06683710719952415,自然转化型
U00018735,23,5.0,0,0.1416270984875867,敏感型
U00004364,41,4.0,0,0.09504557302009409,自然转化型
U00014701,29,2.0,0,0.07313419511680624,自然转化型
U00068075,18,3.0,0,0.10322201008375248,敏感型
U00022712,23,2.0,0,0.0819232589866794,自然转化型
U00009374,34,3.0,1,0.1221786252549249,敏感型
U00061691,28,2.0,1,0.07605010621786235,自然转化型
U00082736,30,5.0,1,0.09326035534614735,自然转化型
U00016103,42,3.0,0,0.08214745084596115,自然转化型
U00074404,26,0.0,1,0.0672384711493067,自然转化型
U00053334,41,5.0,0,0.07982376671585434,自然转化型
U00029212,43,5.0,0,0.09121551736680278,自然转化型
U00019612,33,7.0,1,0.14399533609665222,敏感型
U00018480,38,2.0,0,0.08366185680553384,自然转化型
U00074342,23,1.0,0,0.05933253092708535,自然转化型
U00079703,41,4.0,0,0.09239141055020045,自然转化型
U00024804,36,0.0,0,0.06018531585181286,自然转化型
U00099886,28,2.0,0,0.0693321646912545,自然转化型
U00049395,41,2.0,0,0.0779311181100229,自然转化型
U00064017,34,5.0,0,0.12401387578782846,敏感型
U00027149,29,2.0,1,0.09714710832418291,自然转化型
U00054237,35,2.0,0,0.07070765836161913,自然转化型
U00051625,52,3.0,1,0.15426334725103602,敏感型
U00005086,50,3.0,1,0.1086513621221794,敏感型
U00097622,21,3.0,0,0.08507610578040786,自然转化型
U00071413,37,2.0,1,0.059728475433748346,自然转化型
U00007573,26,4.0,1,0.14719240232361086,敏感型
U00060142,28,2.0,0,0.06681393394750579,自然转化型
U00062580,27,2.0,0,0.08871487248844132,自然转化型
U00046443,24,6.0,0,0.12624729125383088,敏感型
U00097494,18,1.0,1,0.047226253683894714,自然转化型
U00003259,41,2.0,1,0.04651919555132422,自然转化型
U00088183,30,0.0,0,0.08870189276702109,自然转化型
U00019867,31,3.0,1,0.13645421901921062,敏感型
U00016042,40,5.0,0,0.12756705288383086,敏感型
U00063278,28,2.0,1,0.09280829204962104,自然转化型
U00067445,25,2.0,0,0.06442561477365172,自然转化型
U00020534,34,2.0,0,0.0797625199495372,自然转化型
U00076521,24,6.0,1,0.14563510226103288,敏感型
U00067995,33,0.0,0,0.058867009904342765,自然转化型
U00091503,32,5.0,1,0.1272004127351674,敏感型
U00048617,28,1.0,1,0.09380640759924894,自然转化型
U00009049,30,4.0,1,0.13980409991649811,敏感型
U00043131,29,2.0,0,0.08180955985522706,自然转化型
U00024078,28,6.0,1,0.14153881576677013,敏感型
U00001336,29,2.0,1,0.12344809204356119,敏感型
U00060555,33,0.0,1,0.06066735046857519,自然转化型
U00043088,27,1.0,1,0.08754876714690857,自然转化型
U00076323,38,2.0,1,0.05720068734594452,自然转化型
U00078227,39,2.0,1,0.0505600440434211,自然转化型
U00041946,43,4.0,0,0.08280766199490425,自然转化型
U00006929,31,1.0,1,0.0775910707211537,自然转化型
U00027297,23,1.0,0,0.0811118797629713,自然转化型
U00007468,29,4.0,0,0.15136738852956255,敏感型
U00002657,23,1.0,1,0.037366320139307324,自然转化型
U00027236,23,3.0,0,0.09829989409356366,自然转化型
U00074715,28,0.0,1,0.06174636903729469,自然转化型
U00080899,36,4.0,0,0.11634098329537729,敏感型
U00098342,19,1.0,0,0.052590945160396196,自然转化型
U00097551,18,4.0,1,0.12062861187262858,敏感型
U00037873,26,2.0,0,0.07285552360647601,自然转化型
U00037566,32,2.0,0,0.08446315994477038,自然转化型
U00008188,37,1.0,0,0.06540887892960948,自然转化型
U00069691,40,2.0,0,0.06065929876076076,自然转化型
U00026452,31,2.0,0,0.08473414074284485,自然转化型
U00093885,23,1.0,1,0.07129144510203728,自然转化型
U00000653,29,0.0,0,0.05722268215644416,自然转化型
U00082591,18,3.0,0,0.05228294602816763,自然转化型
U00064185,18,0.0,1,0.019778404656734444,自然转化型
U00006826,27,2.0,0,0.07002962366961363,自然转化型
U00097206,40,3.0,0,0.11697574945249639,敏感型
U00059891,28,5.0,0,0.14459370521360637,敏感型
U00045112,33,4.0,1,0.10613190267943623,敏感型
U00045484,21,2.0,1,0.07725180188249198,自然转化型
U00076227,19,10.0,0,0.03272957054814585,自然转化型
U00042735,35,3.0,0,0.10530292910610523,敏感型
U00000292,28,6.0,1,0.11194015576811955,敏感型
U00068179,37,0.0,0,0.0820773353732058,自然转化型
U00056777,38,1.0,1,0.07045508895667327,自然转化型
U00082011,33,1.0,1,0.09687745496287695,自然转化型
U00032642,30,2.0,0,0.07517543448433364,自然转化型
U00061827,29,7.0,0,0.1336951210361369,敏感型
U00010492,32,1.0,1,0.09382511666588286,自然转化型
U00034743,41,0.0,1,0.027815989836653537,自然转化型
U00092367,19,3.0,1,0.10359687455026945,敏感型
U00027527,42,4.0,1,0.0996242460763298,自然转化型
U00050118,36,3.0,0,0.10722216364368431,敏感型
U00091938,18,3.0,0,0.11173763776931361,敏感型
U00040143,41,3.0,1,0.11769088413734063,敏感型
U00036639,28,2.0,0,0.0735924961769503,自然转化型
U00051078,27,3.0,1,0.12992507438094097,敏感型
U00050590,35,4.0,0,0.1303724939019948,敏感型
U00040135,33,3.0,1,0.08685067097277305,自然转化型
U00015854,23,4.0,0,0.16102609242243715,敏感型
U00095238,33,2.0,0,0.07834224998772613,自然转化型
U00015269,39,1.0,1,0.07032324196659168,自然转化型
U00018819,29,1.0,1,0.0850209904865396,自然转化型
U00011922,34,3.0,0,0.09608327796254312,自然转化型
U00012047,37,4.0,0,0.11334894723056249,敏感型
U00093897,26,0.0,1,0.05554792262227942,自然转化型
U00023261,47,2.0,0,0.10323234680168791,敏感型
U00097220,38,2.0,0,0.06843644134889079,自然转化型
U00023049,32,1.0,1,0.07846103089429773,自然转化型
U00031733,30,8.0,0,0.17196604307004537,敏感型
U00032919,19,2.0,1,0.10039777518356463,自然转化型
U00049633,38,0.0,0,0.07697492957326382,自然转化型
U00044573,18,1.0,1,0.0705168269962975,自然转化型
U00090539,42,0.0,1,0.04287673821126728,自然转化型
U00049520,38,2.0,1,0.05215928643752124,自然转化型
U00066319,41,3.0,0,0.10310688741900548,敏感型
U00003786,27,1.0,0,0.07872183971914765,自然转化型
U00060654,33,2.0,0,0.07842933425884213,自然转化型
U00094926,34,3.0,0,0.08944996605463368,自然转化型
U00087121,40,2.0,0,0.06779805933709643,自然转化型
U00007490,38,7.0,0,0.0914012380874557,自然转化型
U00040621,37,2.0,0,0.08438539710490287,自然转化型
U00095740,36,3.0,1,0.10889463969987212,敏感型
U00020801,21,3.0,1,0.08961127812316128,自然转化型
U00017314,34,0.0,0,0.06169870868824262,自然转化型
U00007125,42,2.0,0,0.06510035493038607,自然转化型
U00071215,30,0.0,0,0.056978539696603187,自然转化型
U00006566,37,0.0,0,0.047907688166472895,自然转化型
U00083639,25,2.0,0,0.17101789809614015,敏感型
U00058291,32,1.0,0,0.08822661264848541,自然转化型
U00054842,57,4.0,0,0.09143293900261645,自然转化型
U00072112,36,4.0,0,0.13336906942766508,敏感型
U00016189,31,1.0,1,0.08386240518798382,自然转化型
U00068084,35,3.0,0,0.12494151229725436,敏感型
U00005594,35,1.0,1,0.08304339543708036,自然转化型
U00038716,37,2.0,0,0.07479245846535704,自然转化型
U00017327,27,2.0,0,0.07718952371313556,自然转化型
U00015910,30,0.0,0,0.04271149837534294,自然转化型
U00083085,31,0.0,0,0.060750372907661665,自然转化型
U00021147,32,2.0,1,0.06305342111991821,自然转化型
U00058484,47,2.0,0,0.05917829122749654,自然转化型
U00084792,36,5.0,1,0.1262623162562005,敏感型
U00041972,24,4.0,1,0.12757910534502753,敏感型
U00041724,32,4.0,1,0.09538084503485872,自然转化型
U00006892,60,0.0,1,0.0888807868571945,自然转化型
U00066851,32,0.0,1,0.06648733610848653,自然转化型
U00039753,22,2.0,0,0.054108551041866654,自然转化型
U00085521,34,0.0,0,0.06169870868824262,自然转化型
U00097728,23,3.0,0,0.11662455482581796,敏感型
U00065832,18,1.0,0,0.05271370094731967,自然转化型
U00069224,38,0.0,0,0.020408928086479705,自然转化型
U00016646,39,3.0,1,0.1220689188051905,敏感型
U00064687,20,2.0,0,0.06644169343494072,自然转化型
U00091496,40,1.0,1,0.05586727652015441,自然转化型
U00075768,46,3.0,0,0.1048174253732258,敏感型
U00001140,37,2.0,1,0.05593538348023688,自然转化型
U00030027,40,5.0,1,0.09249023734565354,自然转化型
U00064270,39,4.0,0,0.10088840645490699,自然转化型
U00024529,30,1.0,1,0.08625346293053587,自然转化型
U00059319,38,1.0,1,0.11375054039110397,敏感型
U00027543,20,1.0,1,0.07114072635940552,自然转化型
U00092525,23,6.0,0,0.1308113796898588,敏感型
U00070375,38,1.0,0,0.07262211498384416,自然转化型
U00073044,27,0.0,1,0.06324682333550474,自然转化型
U00007765,43,0.0,1,0.04881056161668307,自然转化型
U00094748,35,0.0,0,0.09292890782724192,自然转化型
U00096475,33,3.0,0,0.12582329660818192,敏感型
U00065082,22,2.0,0,0.06996730260521533,自然转化型
U00027312,34,4.0,1,0.12541012968192727,敏感型
U00055459,24,2.0,0,0.10296600632645211,敏感型
U00039296,25,2.0,0,0.0618060595303207,自然转化型
U00042699,34,2.0,1,0.08358643546863634,自然转化型
U00020615,28,1.0,1,0.10449551829528625,敏感型
U00077824,19,5.0,0,0.10032397371936619,自然转化型
U00024154,34,4.0,1,0.1261016286685866,敏感型
U00012647,41,3.0,1,0.07118520773597009,自然转化型
U00067547,45,3.0,0,0.10585174208180403,敏感型
U00002455,37,3.0,1,0.10375419064313474,敏感型
U00045824,29,3.0,1,0.09616749700420635,自然转化型
U00022809,28,3.0,0,0.11526225499878445,敏感型
U00032605,38,3.0,1,0.11395966971067739,敏感型
U00083409,44,2.0,1,0.04988987184559038,自然转化型
U00048683,30,1.0,1,0.09355694108261128,自然转化型
U00032600,29,3.0,1,0.09502718690088385,自然转化型
U00094601,29,2.0,1,0.07771132065060918,自然转化型
U00036416,28,4.0,0,0.15827972692183034,敏感型
U00007096,18,4.0,1,0.09257580007992755,自然转化型
U00081121,27,3.0,1,0.10554501675181582,敏感型
U00045158,35,1.0,0,0.097721700760424,自然转化型
U00042532,36,2.0,1,0.0639186992715553,自然转化型
U00041439,45,4.0,0,0.13469368235935897,敏感型
U00038459,27,4.0,0,0.14251604895608733,敏感型
U00003609,21,2.0,1,0.07140138046356864,自然转化型
U00031777,29,1.0,1,0.07602897747500736,自然转化型
U00081774,36,1.0,1,0.06473982041781834,自然转化型
U00038606,36,4.0,1,0.1319946220641956,敏感型
U00079102,44,0.0,1,0.0238856626980041,自然转化型
U00051395,33,1.0,0,0.08106256259477782,自然转化型
U00027798,34,3.0,0,0.11607151484959244,敏感型
U00058397,31,3.0,1,0.12454028097242065,敏感型
U00011718,26,1.0,1,0.08913185576846147,自然转化型
U00026588,18,5.0,1,0.12368422949684488,敏感型
U00083366,31,3.0,0,0.13094672053384238,敏感型
U00024686,41,0.0,1,0.03314477615406777,自然转化型
U00001050,43,2.0,0,0.06169628512888273,自然转化型
U00040159,18,1.0,0,0.055581361240630345,自然转化型
U00020421,23,1.0,1,0.07188755164849917,自然转化型
U00099586,38,5.0,0,0.11743467489129178,敏感型
U00013264,33,3.0,0,0.09034849604360617,自然转化型
U00075650,39,2.0,1,0.06643388554141413,自然转化型
U00042728,39,3.0,0,0.0838572933685861,自然转化型
U00069486,31,1.0,0,0.08352661527312688,自然转化型
U00067287,18,0.0,0,0.02816203552794136,自然转化型
U00067291,18,4.0,1,0.12795363338754995,敏感型
U00080084,34,5.0,0,0.11638955194094769,敏感型
U00001882,44,1.0,1,0.030025134982359925,自然转化型
U00007129,33,1.0,1,0.0769859568051284,自然转化型
U00040811,31,3.0,0,0.11271485305648155,敏感型
U00008296,40,3.0,1,0.08964211382967441,自然转化型
U00027385,21,0.0,0,0.037435400637741645,自然转化型
U00050697,29,0.0,0,0.08104205657417016,自然转化型
U00074002,36,0.0,1,0.06966112381320397,自然转化型
U00017612,25,2.0,1,0.08134557746387491,自然转化型
U00015445,26,1.0,0,0.091285641377922,自然转化型
U00016713,34,3.0,1,0.1190148779834031,敏感型
U00044038,43,1.0,1,0.054398500981714976,自然转化型
U00074550,26,1.0,0,0.0721591837081354,自然转化型
U00082999,20,5.0,1,0.1290257568370916,敏感型
U00033266,35,5.0,1,0.10682242723369584,敏感型
U00060062,38,5.0,0,0.08568559579288032,自然转化型
U00097530,56,2.0,0,0.09071747501851185,自然转化型
U00001664,27,2.0,0,0.06673662850637807,自然转化型
U00064171,32,2.0,1,0.08042632834169214,自然转化型
U00027737,30,2.0,0,0.07850356391999005,自然转化型
U00026690,25,2.0,0,0.06640990185329732,自然转化型
U00056322,25,2.0,0,0.07611529014630836,自然转化型
U00078976,30,0.0,0,0.06713625332399151,自然转化型
U00025759,22,1.0,1,0.08634534352180512,自然转化型
U00036622,32,0.0,0,0.07074035909938622,自然转化型
U00061393,42,4.0,0,0.09482006627850875,自然转化型
U00050225,32,1.0,0,0.07282377924119168,自然转化型
U00053525,29,2.0,1,0.09893331412622552,自然转化型
U00080018,24,4.0,0,0.16141727169929965,敏感型
U00029442,26,1.0,1,0.09235167247796794,自然转化型
U00001779,28,6.0,1,0.1254802395222422,敏感型
U00064046,43,0.0,1,0.016430621983933746,自然转化型
U00028682,26,0.0,0,0.05793923119333602,自然转化型
U00011467,29,1.0,0,0.08291281214951188,自然转化型
U00066825,35,2.0,1,0.07352112730594568,自然转化型
U00077667,26,4.0,1,0.11040768624567665,敏感型
U00087226,26,3.0,0,0.11678276753977573,敏感型
U00026974,34,3.0,1,0.12073104947241209,敏感型
U00022977,26,1.0,1,0.08828101539338079,自然转化型
U00095216,35,3.0,1,0.12152016995433584,敏感型
U00063109,19,4.0,0,0.12786912106085135,敏感型
U00013454,32,2.0,0,0.07532395732392153,自然转化型
U00081488,36,0.0,0,0.06018531585181286,自然转化型
U00040423,41,2.0,1,0.1013601369265616,自然转化型
U00079669,28,5.0,1,0.10649864686878502,敏感型
U00006325,28,3.0,1,0.12161757812106122,敏感型
U00004184,27,4.0,0,0.1609100997806197,敏感型
U00007809,45,5.0,0,0.0931370101272816,自然转化型
U00093374,28,4.0,0,0.1494657672332524,敏感型
U00021811,26,3.0,0,0.14705968234262423,敏感型
U00035656,30,5.0,0,0.12234159048517917,敏感型
U00021351,32,3.0,1,0.13616881588808671,敏感型
U00093383,26,1.0,0,0.07592554429098822,自然转化型
U00071024,37,0.0,1,0.05804759745452909,自然转化型
U00071643,24,0.0,1,0.033571730668115335,自然转化型
U00073797,26,5.0,0,0.14298789631708442,敏感型
U00072096,30,5.0,1,0.11011016502085785,敏感型
U00014406,37,5.0,1,0.11651281350841136,敏感型
U00076582,23,3.0,0,0.10416707469087827,敏感型
U00032064,33,3.0,0,0.11243130578951865,敏感型
U00027889,35,4.0,1,0.12498094947525185,敏感型
U00027050,25,7.0,1,0.139991902223292,敏感型
U00019482,29,3.0,1,0.14202908781718437,敏感型
U00064088,32,4.0,0,0.11020968174451262,敏感型
U00043194,18,2.0,1,0.06642686899772657,自然转化型
U00053903,22,1.0,0,0.06356510223654147,自然转化型
U00047693,29,0.0,0,0.08104205657417016,自然转化型
U00087482,36,1.0,0,0.07445829523939207,自然转化型
U00048381,18,0.0,1,-0.010435463055979255,反作用型
U00049727,31,2.0,0,0.07191410443614332,自然转化型
U00032262,39,2.0,0,0.061130660383683144,自然转化型
U00059141,30,2.0,1,0.07831849719754755,自然转化型
U00058434,30,0.0,1,0.05874754247372668,自然转化型
U00076947,43,5.0,0,0.11503424413035945,敏感型
U00007270,25,2.0,0,0.06006408792283671,自然转化型
U00058761,29,2.0,1,0.07526986094935659,自然转化型
U00077562,31,1.0,0,0.07184463370097255,自然转化型
U00039663,34,3.0,1,0.12836420206090127,敏感型
U00026318,32,2.0,0,0.0853730500683714,自然转化型
U00013819,35,1.0,0,0.08818205731087625,自然转化型
U00067254,40,4.0,0,0.09802818206789937,自然转化型
U00062751,36,2.0,0,0.06937155835494957,自然转化型
U00084474,26,2.0,1,0.08384984117641839,自然转化型
U00052138,29,2.0,1,0.08696580783795116,自然转化型
U00067385,29,0.0,1,0.030005889543426645,自然转化型
U00064277,31,0.0,0,0.07021500059846375,自然转化型
U00008837,27,9.0,0,0.1513906934273898,敏感型
U00033693,22,2.0,0,0.09994108456414408,自然转化型
U00016015,42,2.0,0,0.06563454466680205,自然转化型
U00073903,33,2.0,1,0.09215400226704207,自然转化型
U00091472,40,2.0,1,0.06118623618651317,自然转化型
U00057042,36,1.0,0,0.08448750880573613,自然转化型
U00007173,30,4.0,1,0.13966552052896863,敏感型
U00036066,43,0.0,1,0.04881056161668307,自然转化型
U00039232,31,2.0,1,0.0770046285204054,自然转化型
U00087733,26,3.0,1,0.10841006428588312,敏感型
U00055163,22,2.0,0,0.057125122070735224,自然转化型
U00027056,25,2.0,0,0.047635450739109936,自然转化型
U00044645,36,3.0,0,0.11128855927562253,敏感型
U00054234,39,1.0,0,0.0627534080534963,自然转化型
U00035586,39,2.0,0,0.06048128079980089,自然转化型
U00008754,28,0.0,0,0.05227609839939784,自然转化型
U00085013,33,0.0,0,0.057219227489853,自然转化型
U00023670,21,1.0,0,0.051382064301996766,自然转化型
U00039027,25,0.0,1,0.03744267985283181,自然转化型
U00073359,26,2.0,0,0.08574681903947465,自然转化型
U00003327,31,6.0,1,0.12699313393559175,敏感型
U00041373,27,1.0,1,0.09111682192349363,自然转化型
U00001509,32,2.0,0,0.07222740227348162,自然转化型
U00052457,30,6.0,1,0.10657720527466208,敏感型
U00046258,32,0.0,0,0.03127383618158677,自然转化型
U00025284,31,4.0,1,0.14308448333025908,敏感型
U00059310,39,0.0,1,0.04287497892235312,自然转化型
U00039521,34,2.0,0,0.07562783566015116,自然转化型
U00064012,46,0.0,0,0.07261036806914928,自然转化型
U00019734,27,6.0,0,0.13470362417550302,敏感型
U00039151,32,1.0,1,0.1016119984207145,自然转化型
U00056237,24,0.0,0,0.04243861767817392,自然转化型
U00049821,31,0.0,0,0.05942383184414324,自然转化型
U00091329,25,1.0,1,0.07789765719482189,自然转化型
U00079169,25,4.0,0,0.17388470609340828,敏感型
U00028429,35,3.0,1,0.08702971919776759,自然转化型
U00064454,27,2.0,0,0.07213649496414573,自然转化型
U00062427,18,0.0,1,0.019778404656734444,自然转化型
U00051450,28,1.0,1,0.07859596439587302,自然转化型
U00071778,18,0.0,0,0.031713282808718574,自然转化型
U00025585,29,1.0,1,0.06159239367947311,自然转化型
U00020230,39,0.0,1,0.004075747492167298,自然转化型
U00023613,25,0.0,1,0.05769465072169064,自然转化型
U00045006,25,5.0,1,0.1156457484499942,敏感型
U00030465,31,4.0,0,0.17952843042647565,敏感型
U00029142,33,5.0,1,0.11646139522909726,敏感型
U00086736,38,3.0,1,0.11546245413774342,敏感型
U00095909,30,7.0,1,0.1713396127270847,敏感型
U00099638,31,5.0,0,0.12755596116722612,敏感型
U00008728,39,2.0,1,0.044356412668266565,自然转化型
U00072898,28,1.0,0,0.07022178019028424,自然转化型
U00019601,29,0.0,0,0.06462803604071835,自然转化型
U00082160,35,4.0,0,0.12223398686962067,敏感型
U00065397,38,3.0,0,0.09789905339536731,自然转化型
U00069652,34,3.0,0,0.12515393001597486,敏感型
U00011570,26,4.0,1,0.11102938838459114,敏感型
U00025917,32,3.0,0,0.11910132101894505,敏感型
U00038318,24,0.0,0,0.03463315982366147,自然转化型
U00065774,42,2.0,1,0.054496001434914315,自然转化型
U00099363,18,2.0,0,0.05269482282231294,自然转化型
U00090209,43,0.0,0,0.061824428654094044,自然转化型
U00075568,36,0.0,0,0.09622783890887696,自然转化型
U00083887,20,10.0,1,0.052577493305981715,自然转化型
U00069737,18,4.0,0,0.1658566222847498,敏感型
U00074279,32,1.0,1,0.09191094221380991,自然转化型
U00001328,30,0.0,0,0.059642399240802946,自然转化型
U00094222,44,5.0,0,0.08706729640447719,自然转化型
U00053246,27,1.0,1,0.09817141798107684,自然转化型
U00071275,43,2.0,0,0.06577385604594305,自然转化型
U00028791,18,1.0,0,0.05290249980644199,自然转化型
U00093188,40,2.0,0,0.07114243371507717,自然转化型
U00016383,24,7.0,0,0.164592013530738,敏感型
U00012597,32,2.0,1,0.0891901560076161,自然转化型
U00052513,35,1.0,1,0.08361038617533217,自然转化型
U00083719,39,2.0,0,0.07680515991878237,自然转化型
U00022701,38,3.0,0,0.10193687875032104,自然转化型
U00009274,40,3.0,1,0.11180222962381581,敏感型
U00088341,33,3.0,1,0.11136192633895364,敏感型
U00075794,29,2.0,1,0.07774998974497255,自然转化型
U00002840,30,2.0,0,0.08442045173941443,自然转化型
U00062160,29,3.0,1,0.14504941587326903,敏感型
U00081645,25,0.0,0,0.05934276275747341,自然转化型
U00086248,54,1.0,0,0.11765712791180663,敏感型
U00015280,33,5.0,1,0.10763021809175916,敏感型
U00008942,46,3.0,0,0.15840794084421506,敏感型
U00088772,36,3.0,0,0.09703757711167582,自然转化型
U00064488,28,3.0,0,0.13189329385983622,敏感型
U00042710,42,2.0,1,0.050743827266293035,自然转化型
U00006720,38,7.0,1,0.11054424169833604,敏感型
U00002617,26,1.0,1,0.0695508833390632,自然转化型
U00046133,28,3.0,0,0.12915495991029363,敏感型
U00052751,28,2.0,0,0.0707411025646735,自然转化型
U00087948,43,0.0,0,0.03862345701786826,自然转化型
U00084486,35,1.0,1,0.08047271583657692,自然转化型
U00011258,32,1.0,0,0.08822661264848541,自然转化型
U00059788,25,1.0,1,0.07965593218154576,自然转化型
U00013440,28,1.0,0,0.09664277571632263,自然转化型
U00017380,31,2.0,0,0.07210570258127638,自然转化型
U00070519,36,2.0,1,0.056671598947193536,自然转化型
U00007165,26,3.0,1,0.09798359939221485,自然转化型
U00040622,33,4.0,0,0.12858154901532853,敏感型
U00086374,41,2.0,0,0.06496051864324409,自然转化型
U00060409,24,1.0,0,0.06269230509301799,自然转化型
U00031725,26,4.0,1,0.15443235754839013,敏感型
U00041083,18,1.0,0,0.06612332110794578,自然转化型
U00032952,34,2.0,1,0.07817873187299706,自然转化型
U00096779,43,0.0,1,0.04992645053265665,自然转化型
U00086222,27,2.0,1,0.090626734513292,自然转化型
U00055936,29,1.0,1,0.09081304772984294,自然转化型
U00090242,28,7.0,0,0.1593296512723204,敏感型
U00042403,39,1.0,0,0.0773811448873854,自然转化型
U00060356,36,1.0,1,0.07640825890146624,自然转化型
U00067617,32,2.0,0,0.08767994948050678,自然转化型
U00039149,38,3.0,0,0.11793373066118884,敏感型
U00059193,44,2.0,1,0.07141560378585801,自然转化型
U00035744,38,1.0,0,0.07683917805174906,自然转化型
U00050085,27,7.0,1,0.13226052676922878,敏感型
U00054508,32,7.0,1,0.15627069873868032,敏感型
U00005973,37,3.0,1,0.08310560700978242,自然转化型
U00076439,28,4.0,1,0.14975426434585387,敏感型
U00073809,24,3.0,1,0.11698012805133096,敏感型
U00029719,32,2.0,0,0.07222875436056564,自然转化型
U00007392,32,0.0,1,0.0526720550022754,自然转化型
U00083678,49,3.0,1,0.11230792534287104,敏感型
U00014017,39,1.0,1,0.07248939559691492,自然转化型
U00041271,47,1.0,0,0.07933728351447347,自然转化型
U00019341,29,3.0,1,0.14504941587326903,敏感型
U00079707,33,1.0,0,0.08540100443681559,自然转化型
U00093222,24,7.0,0,0.16133632102630657,敏感型
U00060731,23,1.0,1,0.07474500633086362,自然转化型
U00097155,35,2.0,0,0.0735702511185474,自然转化型
U00056901,30,4.0,1,0.145428578061442,敏感型
U00043732,28,6.0,1,0.1352376053898932,敏感型
U00003568,40,1.0,1,0.07476875233299021,自然转化型
U00038906,32,0.0,0,0.05304953112827815,自然转化型
U00078742,26,0.0,0,0.05337057219121505,自然转化型
U00055153,35,1.0,1,0.09652162002664455,自然转化型
U00055854,26,1.0,0,0.0880549437042247,自然转化型
U00054397,47,1.0,0,0.06456231957318567,自然转化型
U00012290,27,2.0,0,0.0786888889063306,自然转化型
U00082659,29,0.0,1,0.05478543769275823,自然转化型
U00003529,18,1.0,1,0.06967978253520549,自然转化型
U00057406,37,1.0,0,0.07279332240150824,自然转化型
U00079893,40,3.0,1,0.11788712349298253,敏感型
U00049469,18,0.0,0,0.02095296756969811,自然转化型
U00082596,24,0.0,0,0.053285249402352686,自然转化型
U00098009,29,1.0,0,0.07797988224516639,自然转化型
U00032239,40,4.0,0,0.13578217975296375,敏感型
U00075548,19,4.0,0,0.1482172430382973,敏感型
U00014636,31,1.0,0,0.06866303635696955,自然转化型
U00089101,39,1.0,1,0.07744901383620967,自然转化型
U00072738,19,6.0,0,0.13004636959576732,敏感型
U00044850,29,7.0,1,0.160700516831432,敏感型
U00037447,24,1.0,0,0.07012466767054773,自然转化型
U00012687,18,1.0,0,0.06776870156553957,自然转化型
U00055877,18,1.0,0,0.05946454765540932,自然转化型
U00064603,32,2.0,1,0.10542288928958732,敏感型
U00097927,31,1.0,0,0.09061602333651209,自然转化型
U00058979,39,4.0,1,0.0961057954799805,自然转化型
U00034113,31,1.0,0,0.08394198379616885,自然转化型
