用户ID,性别,年龄,肤质,是否会员,常用省份
U00015946,女,28,中性,否,浙江
U00015947,女,41,中性,是,浙江
U00015948,女,35,干性/混干,是,上海
U00015949,女,24,敏感肌,否,山东
U00015950,女,46,油性/混油,是,湖北
U00015951,女,34,油性/混油,否,湖南
U00015952,女,32,干性/混干,是,江苏
U00015953,女,25,干性/混干,是,湖北
U00015954,女,41,油性/混油,否,浙江
U00015955,男,36,油性/混油,否,山东
U00015956,女,37,油性/混油,是,广东
U00015957,男,27,干性/混干,否,江苏
U00015958,男,38,油性/混油,否,上海
U00015959,女,39,中性,是,湖北
U00015960,女,26,油性/混油,否,北京
U00015961,女,20,油性/混油,是,湖北
U00015962,女,36,敏感肌,否,湖南
U00015963,男,19,油性/混油,是,四川
U00015964,男,33,中性,否,河南
U00015965,男,28,干性/混干,否,上海
U00015966,女,41,敏感肌,是,上海
U00015967,女,28,油性/混油,是,浙江
U00015968,男,40,敏感肌,否,北京
U00015969,男,27,中性,是,广东
U00015970,女,39,干性/混干,否,江苏
U00015971,男,48,油性/混油,否,湖南
U00015972,女,23,油性/混油,否,广东
U00015973,女,34,敏感肌,是,广东
U00015974,女,53,油性/混油,是,四川
U00015975,男,32,油性/混油,否,浙江
U00015976,男,32,敏感肌,否,广东
U00015977,女,38,油性/混油,否,浙江
U00015978,女,32,干性/混干,是,广东
U00015979,女,18,中性,是,湖南
U00015980,女,41,油性/混油,是,广东
U00015981,女,18,中性,是,山东
U00015982,女,28,敏感肌,否,上海
U00015983,男,41,中性,否,四川
U00015984,男,29,敏感肌,否,江苏
U00015985,男,26,敏感肌,否,湖北
U00015986,男,39,油性/混油,否,上海
U00015987,女,25,干性/混干,是,山东
U00015988,女,22,油性/混油,否,江苏
U00015989,女,34,中性,否,湖北
U00015990,男,30,干性/混干,否,四川
U00015991,女,22,敏感肌,是,浙江
U00015992,女,37,油性/混油,否,广东
U00015993,男,35,敏感肌,否,浙江
U00015994,女,29,干性/混干,是,山东
U00015995,女,29,敏感肌,否,浙江
U00015996,女,35,干性/混干,是,上海
U00015997,男,41,油性/混油,否,湖北
U00015998,女,29,敏感肌,是,北京
U00015999,女,37,中性,是,四川
U00016000,女,36,油性/混油,是,四川
U00016001,女,39,干性/混干,是,山东
U00016002,女,32,干性/混干,是,北京
U00016003,女,24,中性,是,江苏
U00016004,女,28,敏感肌,是,上海
U00016005,女,34,油性/混油,否,浙江
U00016006,女,46,油性/混油,否,上海
U00016007,女,28,中性,否,浙江
U00016008,女,38,油性/混油,否,四川
U00016009,男,29,敏感肌,是,四川
U00016010,男,32,敏感肌,是,广东
U00016011,女,44,敏感肌,否,广东
U00016012,男,38,敏感肌,否,湖北
U00016013,女,22,油性/混油,是,四川
U00016014,女,27,油性/混油,否,广东
U00016015,男,42,中性,否,河南
U00016016,女,33,干性/混干,是,湖北
U00016017,女,22,油性/混油,否,广东
U00016018,女,25,敏感肌,否,上海
U00016019,女,37,干性/混干,否,湖北
U00016020,女,39,油性/混油,是,四川
U00016021,男,32,敏感肌,否,广东
U00016022,男,51,干性/混干,否,湖南
U00016023,女,38,中性,否,湖南
U00016024,女,30,敏感肌,是,四川
U00016025,男,25,干性/混干,否,四川
U00016026,女,24,敏感肌,是,江苏
U00016027,女,34,中性,否,河南
U00016028,女,28,中性,是,江苏
U00016029,女,45,干性/混干,是,上海
U00016030,女,43,中性,否,广东
U00016031,女,37,干性/混干,是,广东
U00016032,女,22,油性/混油,否,上海
U00016033,女,26,敏感肌,是,湖北
U00016034,女,42,油性/混油,是,广东
U00016035,女,27,干性/混干,否,北京
U00016036,男,40,油性/混油,否,广东
U00016037,女,35,干性/混干,是,上海
U00016038,男,32,敏感肌,否,北京
U00016039,女,26,干性/混干,否,浙江
U00016040,男,31,干性/混干,是,北京
U00016041,女,33,敏感肌,是,山东
U00016042,男,40,敏感肌,否,江苏
U00016043,男,24,敏感肌,否,北京
U00016044,女,29,敏感肌,是,山东
U00016045,女,32,油性/混油,是,江苏
U00016046,女,37,油性/混油,是,湖南
U00016047,女,24,油性/混油,是,上海
U00016048,女,21,敏感肌,否,湖北
U00016049,男,37,油性/混油,是,广东
U00016050,女,19,油性/混油,是,浙江
U00016051,女,42,干性/混干,是,北京
U00016052,男,30,中性,否,上海
U00016053,女,19,干性/混干,否,四川
U00016054,女,28,中性,是,湖南
U00016055,男,35,中性,否,浙江
U00016056,女,27,干性/混干,是,山东
U00016057,男,32,敏感肌,是,湖南
U00016058,女,37,干性/混干,是,山东
U00016059,女,30,油性/混油,是,湖南
U00016060,女,24,干性/混干,是,湖北
U00016061,男,29,中性,是,山东
U00016062,女,43,敏感肌,是,河南
U00016063,女,45,敏感肌,是,北京
U00016064,男,18,油性/混油,否,河南
U00016065,女,40,敏感肌,否,北京
U00016066,女,34,油性/混油,是,山东
U00016067,女,39,干性/混干,是,山东
U00016068,女,27,油性/混油,否,上海
U00016069,女,18,中性,否,北京
U00016070,女,36,中性,是,上海
U00016071,男,24,敏感肌,否,广东
U00016072,男,20,中性,是,山东
U00016073,女,21,中性,否,北京
U00016074,女,36,敏感肌,否,上海
U00016075,女,33,油性/混油,否,上海
U00016076,男,38,中性,否,北京
U00016077,女,37,油性/混油,是,四川
U00016078,女,28,油性/混油,是,湖南
U00016079,女,31,油性/混油,否,湖南
U00016080,女,27,油性/混油,否,北京
U00016081,男,30,油性/混油,否,江苏
U00016082,男,24,中性,否,上海
U00016083,女,35,中性,是,江苏
U00016084,女,40,中性,是,浙江
U00016085,女,25,敏感肌,是,江苏
U00016086,男,42,敏感肌,是,北京
U00016087,男,32,干性/混干,是,浙江
U00016088,女,33,油性/混油,是,河南
U00016089,女,18,油性/混油,否,山东
U00016090,女,18,中性,是,江苏
U00016091,女,33,干性/混干,是,江苏
U00016092,男,38,油性/混油,是,江苏
U00016093,男,26,敏感肌,否,湖北
U00016094,女,45,敏感肌,否,浙江
U00016095,女,37,油性/混油,否,浙江
U00016096,男,24,油性/混油,否,北京
U00016097,男,32,干性/混干,是,河南
U00016098,女,51,敏感肌,是,浙江
U00016099,男,22,中性,是,江苏
U00016100,男,36,中性,否,山东
U00016101,男,29,油性/混油,是,河南
U00016102,女,37,敏感肌,否,广东
U00016103,男,42,敏感肌,否,山东
U00016104,女,28,油性/混油,否,广东
U00016105,男,40,敏感肌,否,江苏
U00016106,男,49,敏感肌,否,四川
U00016107,女,32,干性/混干,是,北京
U00016108,女,38,油性/混油,否,山东
U00016109,女,27,油性/混油,是,浙江
U00016110,女,32,油性/混油,是,山东
U00016111,女,30,干性/混干,是,北京
U00016112,女,38,敏感肌,是,山东
U00016113,男,41,干性/混干,否,江苏
U00016114,女,31,干性/混干,是,广东
U00016115,女,44,油性/混油,是,浙江
U00016116,女,44,油性/混油,是,湖北
U00016117,女,38,敏感肌,是,河南
U00016118,男,27,干性/混干,否,浙江
U00016119,女,27,油性/混油,是,山东
U00016120,女,25,油性/混油,是,浙江
U00016121,女,39,敏感肌,是,浙江
U00016122,女,22,干性/混干,是,上海
U00016123,女,37,干性/混干,是,四川
U00016124,男,23,油性/混油,否,浙江
U00016125,男,38,敏感肌,否,湖南
U00016126,女,32,中性,是,河南
U00016127,女,42,油性/混油,是,山东
U00016128,女,41,油性/混油,是,山东
U00016129,女,43,敏感肌,否,广东
U00016130,女,43,干性/混干,否,广东
U00016131,女,33,敏感肌,否,河南
U00016132,女,22,油性/混油,是,广东
U00016133,女,23,敏感肌,否,浙江
U00016134,男,18,油性/混油,否,湖南
U00016135,男,23,油性/混油,是,广东
U00016136,女,32,油性/混油,否,山东
U00016137,女,27,敏感肌,否,四川
U00016138,女,30,干性/混干,是,山东
U00016139,女,35,油性/混油,是,上海
U00016140,女,29,油性/混油,是,上海
U00016141,女,23,中性,否,江苏
U00016142,女,31,中性,是,江苏
U00016143,男,24,干性/混干,否,广东
U00016144,女,29,中性,是,江苏
U00016145,女,42,油性/混油,是,江苏
U00016146,女,29,中性,是,上海
U00016147,女,46,中性,否,广东
U00016148,女,43,中性,否,广东
U00016149,女,27,中性,是,江苏
U00016150,女,23,油性/混油,是,广东
U00016151,男,31,油性/混油,否,四川
U00016152,女,41,敏感肌,是,河南
U00016153,男,28,油性/混油,是,上海
U00016154,女,39,干性/混干,是,广东
U00016155,女,41,敏感肌,否,上海
U00016156,男,25,干性/混干,否,北京
U00016157,男,26,油性/混油,否,四川
U00016158,女,37,敏感肌,否,广东
U00016159,女,33,干性/混干,否,河南
U00016160,女,26,敏感肌,是,浙江
U00016161,女,29,敏感肌,是,山东
U00016162,女,31,油性/混油,是,江苏
U00016163,男,19,敏感肌,否,河南
U00016164,女,38,敏感肌,是,河南
U00016165,女,28,干性/混干,是,山东
U00016166,女,18,敏感肌,是,湖南
U00016167,女,31,敏感肌,是,山东
U00016168,女,26,敏感肌,是,四川
U00016169,女,45,敏感肌,否,山东
U00016170,女,27,中性,是,北京
U00016171,男,23,中性,是,浙江
U00016172,女,36,敏感肌,否,河南
U00016173,女,26,干性/混干,是,江苏
U00016174,女,25,敏感肌,是,浙江
U00016175,女,36,油性/混油,是,广东
U00016176,女,23,中性,是,广东
U00016177,女,20,干性/混干,是,湖北
U00016178,女,45,敏感肌,是,上海
U00016179,男,36,油性/混油,是,湖南
U00016180,女,29,敏感肌,否,上海
U00016181,男,31,油性/混油,否,广东
U00016182,女,36,中性,是,湖北
U00016183,女,39,干性/混干,是,四川
U00016184,女,25,敏感肌,否,湖北
U00016185,女,34,油性/混油,否,广东
U00016186,男,27,敏感肌,是,江苏
U00016187,女,30,敏感肌,是,广东
U00016188,女,33,敏感肌,是,浙江
U00016189,女,31,中性,是,广东
U00016190,女,37,干性/混干,否,湖北
U00016191,女,35,干性/混干,是,上海
U00016192,女,19,中性,是,浙江
U00016193,男,21,敏感肌,是,北京
U00016194,女,29,油性/混油,否,江苏
U00016195,女,46,敏感肌,否,湖南
U00016196,女,25,中性,是,浙江
U00016197,女,30,敏感肌,否,山东
U00016198,男,27,中性,是,湖北
U00016199,女,27,油性/混油,否,上海
U00016200,女,33,中性,是,四川
U00016201,男,43,中性,否,四川
U00016202,女,35,敏感肌,否,广东
U00016203,女,25,敏感肌,是,浙江
U00016204,女,54,油性/混油,是,湖北
U00016205,女,32,油性/混油,是,河南
U00016206,女,27,干性/混干,是,河南
U00016207,男,43,敏感肌,否,山东
U00016208,男,28,中性,否,浙江
U00016209,男,45,敏感肌,是,北京
U00016210,女,25,敏感肌,是,广东
U00016211,男,43,中性,否,河南
U00016212,女,33,敏感肌,是,上海
U00016213,女,42,中性,是,广东
U00016214,男,47,干性/混干,否,江苏
U00016215,女,22,敏感肌,是,河南
U00016216,女,42,干性/混干,是,江苏
U00016217,女,20,中性,是,广东
U00016218,男,23,中性,否,湖南
U00016219,男,25,敏感肌,否,广东
U00016220,女,36,中性,是,北京
U00016221,女,32,干性/混干,否,四川
U00016222,女,30,油性/混油,是,浙江
U00016223,女,33,油性/混油,是,广东
U00016224,男,36,油性/混油,否,浙江
U00016225,女,37,敏感肌,否,上海
U00016226,女,40,干性/混干,否,湖北
U00016227,女,46,油性/混油,是,广东
U00016228,女,31,敏感肌,否,湖南
U00016229,女,27,敏感肌,否,江苏
U00016230,女,36,中性,是,浙江
U00016231,女,22,油性/混油,是,山东
U00016232,女,26,敏感肌,否,广东
U00016233,女,39,敏感肌,否,广东
U00016234,男,31,敏感肌,是,江苏
U00016235,男,22,油性/混油,是,湖北
U00016236,女,20,敏感肌,否,上海
U00016237,女,32,敏感肌,否,上海
U00016238,女,41,中性,否,湖南
U00016239,女,41,干性/混干,否,江苏
U00016240,女,32,中性,否,湖北
U00016241,女,48,油性/混油,否,山东
U00016242,女,31,敏感肌,是,上海
U00016243,男,30,干性/混干,是,江苏
U00016244,男,18,油性/混油,否,北京
U00016245,女,28,敏感肌,是,河南
U00016246,男,38,敏感肌,否,上海
U00016247,女,44,中性,否,广东
U00016248,男,25,敏感肌,否,湖北
U00016249,女,35,敏感肌,是,北京
U00016250,女,40,油性/混油,否,广东
U00016251,女,32,敏感肌,否,湖南
U00016252,女,18,油性/混油,否,上海
U00016253,女,33,敏感肌,否,江苏
U00016254,女,38,油性/混油,是,四川
U00016255,女,24,干性/混干,否,浙江
U00016256,女,29,油性/混油,否,浙江
U00016257,女,22,敏感肌,是,浙江
U00016258,男,18,干性/混干,否,上海
U00016259,女,40,油性/混油,是,广东
U00016260,女,31,干性/混干,是,北京
U00016261,女,44,油性/混油,否,北京
U00016262,男,38,油性/混油,是,北京
U00016263,女,29,油性/混油,是,江苏
U00016264,男,31,敏感肌,是,河南
U00016265,女,36,干性/混干,是,江苏
U00016266,女,39,干性/混干,是,河南
U00016267,女,34,敏感肌,是,北京
U00016268,男,40,中性,否,湖南
U00016269,女,29,油性/混油,否,广东
U00016270,女,24,干性/混干,是,上海
U00016271,女,31,敏感肌,否,北京
U00016272,男,33,敏感肌,否,湖北
U00016273,女,22,中性,是,广东
U00016274,女,21,干性/混干,是,浙江
U00016275,女,35,敏感肌,是,湖北
U00016276,女,28,敏感肌,是,湖北
U00016277,女,30,油性/混油,是,山东
U00016278,男,29,中性,否,江苏
U00016279,女,44,油性/混油,否,上海
U00016280,女,42,中性,是,浙江
U00016281,女,22,油性/混油,是,江苏
U00016282,女,27,干性/混干,是,广东
U00016283,女,38,敏感肌,是,广东
U00016284,女,36,敏感肌,否,四川
U00016285,男,31,干性/混干,否,浙江
U00016286,女,22,敏感肌,否,上海
U00016287,女,26,油性/混油,是,广东
U00016288,女,27,中性,否,湖北
U00016289,男,34,油性/混油,否,浙江
U00016290,女,45,干性/混干,否,河南
U00016291,女,26,中性,是,北京
U00016292,男,23,干性/混干,是,广东
U00016293,男,31,干性/混干,是,广东
U00016294,男,40,干性/混干,否,广东
U00016295,男,20,敏感肌,是,江苏
U00016296,女,43,干性/混干,否,河南
U00016297,女,30,油性/混油,是,四川
U00016298,女,26,敏感肌,否,湖南
U00016299,男,19,敏感肌,否,广东
U00016300,女,37,中性,否,江苏
U00016301,女,30,油性/混油,是,广东
U00016302,女,33,敏感肌,是,四川
U00016303,女,24,敏感肌,是,浙江
U00016304,女,29,敏感肌,否,浙江
U00016305,女,28,油性/混油,是,湖北
U00016306,女,31,油性/混油,是,广东
U00016307,女,26,敏感肌,是,浙江
U00016308,男,19,油性/混油,是,四川
U00016309,女,53,敏感肌,否,广东
U00016310,女,21,敏感肌,否,广东
U00016311,女,33,敏感肌,是,四川
U00016312,女,18,敏感肌,否,广东
U00016313,女,18,干性/混干,是,四川
U00016314,女,32,干性/混干,否,河南
U00016315,男,33,中性,否,山东
U00016316,女,42,干性/混干,否,浙江
U00016317,女,35,油性/混油,是,上海
U00016318,女,30,敏感肌,否,广东
U00016319,女,24,敏感肌,是,河南
U00016320,女,43,中性,否,山东
U00016321,女,39,敏感肌,否,浙江
U00016322,女,22,敏感肌,是,湖南
U00016323,女,32,敏感肌,是,四川
U00016324,女,33,敏感肌,是,上海
U00016325,女,29,敏感肌,是,广东
U00016326,女,38,敏感肌,是,山东
U00016327,男,38,干性/混干,否,广东
U00016328,女,30,敏感肌,否,浙江
U00016329,女,29,敏感肌,否,上海
U00016330,女,43,干性/混干,是,上海
U00016331,女,39,油性/混油,否,北京
U00016332,女,32,敏感肌,否,湖南
U00016333,女,18,敏感肌,否,上海
U00016334,男,34,干性/混干,否,广东
U00016335,女,37,油性/混油,是,上海
U00016336,女,18,油性/混油,是,广东
U00016337,女,34,油性/混油,是,四川
U00016338,男,28,干性/混干,否,广东
U00016339,女,30,敏感肌,是,北京
U00016340,女,24,干性/混干,是,河南
U00016341,女,30,干性/混干,否,浙江
U00016342,女,43,油性/混油,是,北京
U00016343,女,28,敏感肌,是,四川
U00016344,女,39,敏感肌,否,广东
U00016345,男,25,敏感肌,是,河南
U00016346,女,38,中性,是,江苏
U00016347,女,32,敏感肌,是,上海
U00016348,男,34,干性/混干,否,上海
U00016349,男,32,油性/混油,是,山东
U00016350,女,37,油性/混油,是,山东
U00016351,女,18,敏感肌,否,浙江
U00016352,女,20,敏感肌,是,四川
U00016353,女,35,干性/混干,否,浙江
U00016354,女,18,敏感肌,是,河南
U00016355,男,27,敏感肌,否,湖北
U00016356,女,31,中性,是,上海
U00016357,女,25,中性,否,湖南
U00016358,女,26,干性/混干,否,北京
U00016359,女,34,干性/混干,是,山东
U00016360,男,40,油性/混油,否,北京
U00016361,女,24,敏感肌,是,江苏
U00016362,女,27,干性/混干,是,广东
U00016363,女,26,敏感肌,否,四川
U00016364,女,18,干性/混干,是,江苏
U00016365,女,33,干性/混干,是,北京
U00016366,女,39,干性/混干,否,四川
U00016367,女,40,敏感肌,是,河南
U00016368,女,25,干性/混干,是,山东
U00016369,女,21,干性/混干,否,湖北
U00016370,女,32,敏感肌,是,河南
U00016371,男,38,干性/混干,否,四川
U00016372,女,33,敏感肌,否,浙江
U00016373,女,34,敏感肌,是,江苏
U00016374,男,41,油性/混油,否,河南
U00016375,男,26,敏感肌,否,广东
U00016376,女,30,干性/混干,是,四川
U00016377,男,45,油性/混油,否,山东
U00016378,女,30,油性/混油,是,山东
U00016379,女,21,干性/混干,否,北京
U00016380,女,26,中性,否,上海
U00016381,男,24,中性,是,北京
U00016382,女,34,油性/混油,否,湖北
U00016383,女,24,油性/混油,否,湖北
U00016384,女,34,油性/混油,否,山东
U00016385,女,26,敏感肌,是,广东
U00016386,男,18,敏感肌,是,广东
U00016387,男,34,干性/混干,是,北京
U00016388,男,33,油性/混油,否,浙江
U00016389,男,36,干性/混干,否,湖南
U00016390,女,26,干性/混干,是,山东
U00016391,女,25,干性/混干,否,浙江
U00016392,男,35,中性,是,广东
U00016393,女,44,油性/混油,否,浙江
U00016394,女,32,敏感肌,是,北京
U00016395,女,35,中性,否,江苏
U00016396,男,29,油性/混油,否,北京
U00016397,女,19,油性/混油,是,江苏
U00016398,女,39,干性/混干,是,湖南
U00016399,女,39,干性/混干,是,上海
U00016400,女,37,油性/混油,是,浙江
U00016401,女,30,敏感肌,是,江苏
U00016402,男,36,中性,否,浙江
U00016403,男,39,中性,是,山东
U00016404,女,44,油性/混油,否,广东
U00016405,女,39,敏感肌,是,江苏
U00016406,男,32,敏感肌,否,广东
U00016407,女,21,中性,是,广东
U00016408,男,33,敏感肌,否,北京
U00016409,男,34,油性/混油,否,广东
U00016410,男,37,油性/混油,是,江苏
U00016411,女,42,油性/混油,是,广东
U00016412,女,31,敏感肌,否,广东
U00016413,男,48,油性/混油,否,四川
U00016414,女,18,中性,否,江苏
U00016415,男,35,敏感肌,否,广东
U00016416,男,25,中性,是,四川
U00016417,男,18,干性/混干,否,江苏
U00016418,女,30,中性,是,浙江
U00016419,女,20,中性,是,上海
U00016420,女,30,敏感肌,否,江苏
U00016421,女,32,干性/混干,是,广东
U00016422,女,40,油性/混油,否,湖北
U00016423,女,19,中性,是,上海
U00016424,女,39,中性,是,上海
U00016425,女,32,敏感肌,是,上海
U00016426,男,40,油性/混油,否,山东
U00016427,男,28,干性/混干,否,北京
U00016428,女,21,干性/混干,否,山东
U00016429,女,22,干性/混干,是,广东
U00016430,女,21,敏感肌,否,上海
U00016431,女,35,敏感肌,是,江苏
U00016432,女,43,敏感肌,否,广东
U00016433,女,27,中性,否,北京
U00016434,男,37,敏感肌,是,江苏
U00016435,女,19,油性/混油,否,四川
U00016436,女,33,干性/混干,是,河南
U00016437,女,37,中性,是,广东
U00016438,女,20,干性/混干,是,浙江
U00016439,男,30,敏感肌,是,湖北
U00016440,女,37,敏感肌,是,江苏
U00016441,女,18,油性/混油,是,湖南
U00016442,男,42,敏感肌,是,山东
U00016443,女,34,敏感肌,否,广东
U00016444,男,37,敏感肌,否,上海
U00016445,女,28,油性/混油,是,江苏
U00016446,女,18,油性/混油,是,广东
U00016447,女,36,敏感肌,是,江苏
U00016448,女,31,敏感肌,是,广东
U00016449,男,32,干性/混干,否,广东
U00016450,女,40,敏感肌,是,广东
U00016451,女,38,干性/混干,是,湖南
U00016452,女,47,中性,否,上海
U00016453,男,33,中性,否,山东
U00016454,女,26,敏感肌,否,广东
U00016455,男,30,油性/混油,否,浙江
U00016456,女,35,油性/混油,是,四川
U00016457,男,40,油性/混油,是,山东
U00016458,男,20,敏感肌,否,湖南
U00016459,男,32,敏感肌,否,北京
U00016460,女,44,油性/混油,是,北京
U00016461,女,30,油性/混油,是,河南
U00016462,女,39,油性/混油,是,北京
U00016463,女,35,敏感肌,否,河南
U00016464,女,39,敏感肌,否,四川
U00016465,女,25,干性/混干,是,浙江
U00016466,男,25,油性/混油,否,上海
U00016467,女,32,中性,是,江苏
U00016468,女,19,敏感肌,否,湖北
U00016469,女,29,敏感肌,是,河南
U00016470,女,34,敏感肌,否,上海
U00016471,女,46,敏感肌,是,四川
U00016472,女,35,油性/混油,否,广东
U00016473,女,37,敏感肌,是,山东
U00016474,男,41,敏感肌,否,广东
U00016475,女,24,干性/混干,是,浙江
U00016476,女,30,敏感肌,是,浙江
U00016477,女,51,油性/混油,是,湖南
U00016478,女,31,敏感肌,是,江苏
U00016479,男,40,油性/混油,是,北京
U00016480,女,39,中性,否,浙江
U00016481,女,20,敏感肌,是,广东
U00016482,男,34,敏感肌,否,江苏
U00016483,男,33,中性,否,广东
U00016484,男,34,干性/混干,是,山东
U00016485,女,25,干性/混干,否,江苏
U00016486,女,23,干性/混干,否,浙江
U00016487,女,28,油性/混油,是,浙江
U00016488,女,31,中性,是,山东
U00016489,女,41,敏感肌,是,湖北
U00016490,女,46,干性/混干,否,上海
U00016491,女,43,干性/混干,是,河南
U00016492,女,38,油性/混油,否,湖北
U00016493,女,23,中性,否,河南
U00016494,女,28,中性,否,广东
U00016495,男,33,敏感肌,否,上海
U00016496,男,26,油性/混油,否,山东
U00016497,女,36,油性/混油,否,江苏
U00016498,女,37,油性/混油,否,江苏
U00016499,男,36,干性/混干,否,江苏
U00016500,男,40,敏感肌,否,四川
U00016501,男,24,干性/混干,否,上海
U00016502,男,39,干性/混干,否,广东
U00016503,女,26,干性/混干,是,上海
U00016504,女,24,油性/混油,否,湖北
U00016505,女,36,中性,是,广东
U00016506,女,41,敏感肌,否,广东
U00016507,女,35,干性/混干,是,江苏
U00016508,女,32,敏感肌,否,江苏
U00016509,女,34,敏感肌,否,河南
U00016510,男,33,敏感肌,是,山东
U00016511,女,22,油性/混油,否,四川
U00016512,男,22,干性/混干,是,上海
U00016513,女,31,干性/混干,是,湖北
U00016514,女,32,敏感肌,是,广东
U00016515,女,32,敏感肌,是,江苏
U00016516,男,37,干性/混干,是,四川
U00016517,女,30,中性,是,上海
U00016518,女,36,中性,是,上海
U00016519,男,30,敏感肌,否,湖北
U00016520,女,46,敏感肌,否,江苏
U00016521,女,32,敏感肌,是,广东
U00016522,女,50,油性/混油,是,浙江
U00016523,男,34,油性/混油,否,湖南
U00016524,女,30,敏感肌,是,四川
U00016525,女,24,中性,否,广东
U00016526,女,20,敏感肌,是,广东
U00016527,女,24,干性/混干,是,浙江
U00016528,女,24,中性,是,北京
U00016529,女,35,敏感肌,否,四川
U00016530,女,27,油性/混油,是,广东
U00016531,女,33,中性,否,山东
U00016532,女,42,敏感肌,是,广东
U00016533,女,31,敏感肌,是,上海
U00016534,女,48,油性/混油,否,河南
U00016535,男,22,敏感肌,否,北京
U00016536,男,30,敏感肌,否,江苏
U00016537,女,27,敏感肌,是,江苏
U00016538,女,39,敏感肌,是,河南
U00016539,女,18,干性/混干,否,广东
U00016540,女,20,敏感肌,是,上海
U00016541,女,31,干性/混干,否,广东
U00016542,女,44,敏感肌,是,湖北
U00016543,男,33,油性/混油,否,湖北
U00016544,女,21,敏感肌,是,广东
U00016545,女,22,油性/混油,否,河南
U00016546,女,45,敏感肌,是,广东
U00016547,女,27,干性/混干,是,北京
U00016548,女,24,干性/混干,否,江苏
U00016549,男,43,敏感肌,否,广东
U00016550,男,40,敏感肌,否,广东
U00016551,女,42,敏感肌,否,浙江
U00016552,女,24,敏感肌,是,北京
U00016553,女,19,敏感肌,否,上海
U00016554,男,33,中性,否,广东
U00016555,男,34,干性/混干,否,四川
U00016556,男,34,油性/混油,否,浙江
U00016557,男,43,干性/混干,否,上海
U00016558,女,18,干性/混干,否,广东
U00016559,男,38,敏感肌,是,江苏
U00016560,女,23,油性/混油,是,四川
U00016561,女,38,中性,否,广东
U00016562,女,28,油性/混油,是,四川
U00016563,男,25,敏感肌,否,上海
U00016564,男,27,中性,否,浙江
U00016565,女,20,中性,否,北京
U00016566,女,32,干性/混干,否,河南
U00016567,女,25,敏感肌,是,江苏
U00016568,女,38,敏感肌,否,广东
U00016569,女,37,干性/混干,否,上海
U00016570,男,45,敏感肌,否,北京
U00016571,男,34,油性/混油,否,江苏
U00016572,女,36,中性,是,北京
U00016573,男,43,油性/混油,否,浙江
U00016574,女,26,油性/混油,是,浙江
U00016575,男,20,中性,否,河南
U00016576,女,33,油性/混油,是,湖北
U00016577,女,20,敏感肌,是,上海
U00016578,女,51,敏感肌,否,上海
U00016579,男,43,中性,否,湖南
U00016580,女,49,油性/混油,是,上海
U00016581,男,32,干性/混干,否,湖北
U00016582,女,36,油性/混油,否,江苏
U00016583,男,28,敏感肌,否,湖南
U00016584,女,39,敏感肌,是,广东
U00016585,女,22,干性/混干,否,山东
U00016586,女,18,油性/混油,否,北京
U00016587,女,25,敏感肌,否,浙江
U00016588,女,20,干性/混干,是,广东
U00016589,男,43,中性,否,上海
U00016590,女,46,油性/混油,是,北京
U00016591,男,20,中性,否,广东
U00016592,女,42,干性/混干,是,广东
U00016593,男,39,敏感肌,否,上海
U00016594,女,19,敏感肌,是,上海
U00016595,男,28,油性/混油,否,河南
U00016596,男,27,油性/混油,否,江苏
U00016597,女,37,干性/混干,否,广东
U00016598,女,22,油性/混油,是,山东
U00016599,男,31,油性/混油,否,四川
U00016600,男,26,油性/混油,是,上海
U00016601,男,35,油性/混油,否,湖南
U00016602,女,30,敏感肌,是,浙江
U00016603,男,27,敏感肌,否,河南
U00016604,男,30,干性/混干,否,北京
U00016605,男,48,油性/混油,否,北京
U00016606,女,28,油性/混油,是,四川
U00016607,男,23,敏感肌,否,四川
U00016608,女,36,中性,是,上海
U00016609,女,30,敏感肌,是,北京
U00016610,女,20,中性,否,广东
U00016611,女,49,敏感肌,是,山东
U00016612,女,29,敏感肌,否,上海
U00016613,女,28,干性/混干,是,广东
U00016614,女,33,中性,否,北京
U00016615,男,45,敏感肌,否,广东
U00016616,女,18,油性/混油,否,北京
U00016617,女,34,中性,是,山东
U00016618,女,48,敏感肌,是,广东
U00016619,男,33,敏感肌,是,广东
U00016620,女,22,敏感肌,否,广东
U00016621,女,27,油性/混油,是,山东
U00016622,女,33,中性,否,四川
U00016623,女,42,敏感肌,是,浙江
U00016624,女,29,干性/混干,否,上海
U00016625,女,38,中性,是,北京
U00016626,女,20,敏感肌,否,四川
U00016627,女,20,敏感肌,是,广东
U00016628,女,28,敏感肌,否,江苏
U00016629,女,43,中性,是,河南
U00016630,女,32,干性/混干,是,浙江
U00016631,女,34,敏感肌,否,湖北
U00016632,女,34,敏感肌,是,湖北
U00016633,男,40,干性/混干,否,北京
U00016634,女,27,干性/混干,是,浙江
U00016635,男,37,油性/混油,否,河南
U00016636,女,25,干性/混干,是,广东
U00016637,女,47,敏感肌,否,四川
U00016638,女,25,敏感肌,是,广东
U00016639,男,24,干性/混干,否,广东
U00016640,女,36,敏感肌,是,广东
U00016641,女,32,敏感肌,是,上海
U00016642,女,34,敏感肌,是,浙江
U00016643,女,33,中性,否,浙江
U00016644,女,23,干性/混干,是,山东
U00016645,女,44,中性,是,山东
U00016646,男,39,油性/混油,是,浙江
U00016647,女,42,敏感肌,是,广东
U00016648,女,27,中性,否,上海
U00016649,女,35,敏感肌,是,广东
