用户ID,性别,年龄,肤质,会员,RFM分类,聚类
U00001070,女,23,,是,核心价值用户,
U00001071,女,39,,否,核心价值用户,
U00001072,女,29,,否,核心价值用户,
U00001073,男,60,,否,潜力发展用户,
U00001074,女,47,,是,低价值/流失用户,
U00001075,男,37,,是,核心价值用户,
U00001076,女,29,,否,核心价值用户,
U00001077,男,33,,是,核心价值用户,
U00001078,女,35,,否,核心价值用户,
U00001079,男,18,,否,潜力发展用户,
U00001080,男,27,,是,高价值沉睡用户,
U00001081,女,58,,是,核心价值用户,
U00001082,女,39,,否,核心价值用户,
U00001083,女,49,,是,核心价值用户,
U00001084,女,42,,否,核心价值用户,
U00001085,女,31,,否,潜力发展用户,
U00001086,女,34,,否,核心价值用户,
U00001087,男,40,,是,低价值/流失用户,
U00001088,女,40,,否,潜力发展用户,
U00001089,男,60,,否,高价值沉睡用户,
U00001090,女,46,,是,高价值沉睡用户,
U00001091,女,34,,否,高价值沉睡用户,
U00001092,女,56,,否,低价值/流失用户,
U00001093,女,60,,否,核心价值用户,
U00001094,女,64,,否,低价值/流失用户,
U00001095,女,57,,否,潜力发展用户,
U00001096,女,62,,是,潜力发展用户,
U00001097,女,60,,否,潜力发展用户,
U00001098,男,42,,是,核心价值用户,
U00001099,女,34,,是,高价值沉睡用户,
U00001100,女,62,,否,高价值沉睡用户,
U00001101,男,37,,是,高价值沉睡用户,
U00001102,女,34,,否,低价值/流失用户,
U00001103,女,55,,是,潜力发展用户,
U00001104,女,32,,否,核心价值用户,
U00001105,男,33,,否,高价值沉睡用户,
U00001106,女,47,,否,核心价值用户,
U00001107,女,40,,否,低价值/流失用户,
U00001108,男,27,,否,高价值沉睡用户,
U00001109,女,32,,否,核心价值用户,
U00001110,女,58,,是,核心价值用户,
U00001111,女,63,,是,潜力发展用户,
U00001112,男,40,,否,潜力发展用户,
U00001113,男,18,,否,核心价值用户,
U00001114,女,57,,否,核心价值用户,
U00001115,男,47,,是,潜力发展用户,
U00001116,女,60,,是,潜力发展用户,
U00001117,女,39,,是,核心价值用户,
U00001118,女,58,,否,低价值/流失用户,
U00001119,女,64,,否,低价值/流失用户,
U00001120,女,40,,否,高价值沉睡用户,
U00001121,女,53,,否,潜力发展用户,
U00001122,男,34,,是,低价值/流失用户,
U00001123,男,65,,否,核心价值用户,
U00001124,女,55,,否,高价值沉睡用户,
U00001125,男,34,,否,低价值/流失用户,
U00001126,男,62,,否,低价值/流失用户,
U00001127,男,46,,否,潜力发展用户,
U00001128,女,41,,否,高价值沉睡用户,
U00001129,女,23,,是,潜力发展用户,
U00001130,女,22,,否,高价值沉睡用户,
U00001131,女,31,,否,核心价值用户,
U00001132,女,49,,是,潜力发展用户,
U00001133,女,30,,否,高价值沉睡用户,
U00001134,男,29,,是,高价值沉睡用户,
U00001135,女,25,,否,低价值/流失用户,
U00001136,女,57,,否,潜力发展用户,
U00001137,女,32,,否,核心价值用户,
U00001138,女,32,,否,低价值/流失用户,
U00001139,男,64,,否,潜力发展用户,
U00001140,女,58,,是,潜力发展用户,
U00001141,女,35,,是,潜力发展用户,
U00001142,男,49,,否,潜力发展用户,
U00001143,女,59,,是,高价值沉睡用户,
U00001144,女,24,,否,核心价值用户,
U00001145,女,41,,否,核心价值用户,
U00001146,男,18,,是,高价值沉睡用户,
U00001147,男,25,,是,核心价值用户,
U00001148,男,40,,否,低价值/流失用户,
U00001149,女,59,,否,核心价值用户,
U00001150,女,39,,否,低价值/流失用户,
U00001151,女,42,,是,高价值沉睡用户,
U00001152,男,48,,否,核心价值用户,
U00001153,男,45,,否,高价值沉睡用户,
U00001154,女,25,,否,核心价值用户,
U00001155,女,61,,否,低价值/流失用户,
U00001156,女,33,,是,核心价值用户,
U00001157,女,63,,是,高价值沉睡用户,
U00001158,男,28,,否,低价值/流失用户,
U00001159,女,47,,是,潜力发展用户,
U00001160,女,47,,否,高价值沉睡用户,
U00001161,男,30,,否,低价值/流失用户,
U00001162,女,39,,否,核心价值用户,
U00001163,女,48,,否,潜力发展用户,
U00001164,男,44,,否,高价值沉睡用户,
U00001165,女,30,,否,潜力发展用户,
U00001166,女,58,,是,核心价值用户,
U00001167,女,61,,否,高价值沉睡用户,
U00001168,女,26,,否,潜力发展用户,
U00001169,女,25,,否,核心价值用户,
U00001170,女,63,,否,核心价值用户,
U00001171,女,42,,否,潜力发展用户,
U00001172,男,31,,否,核心价值用户,
U00001173,男,29,,是,高价值沉睡用户,
U00001174,女,28,,是,核心价值用户,
U00001175,女,22,,否,潜力发展用户,
U00001176,男,45,,否,潜力发展用户,
U00001177,女,42,,是,潜力发展用户,
U00001178,女,23,,是,核心价值用户,
U00001179,男,57,,是,潜力发展用户,
U00001180,女,62,,否,潜力发展用户,
U00001181,男,30,,否,核心价值用户,
U00001182,女,18,,否,潜力发展用户,
U00001183,女,65,,否,高价值沉睡用户,
U00001184,男,57,,否,潜力发展用户,
U00001185,女,48,,否,高价值沉睡用户,
U00001186,男,40,,否,核心价值用户,
U00001187,男,65,,否,高价值沉睡用户,
U00001188,男,29,,否,核心价值用户,
U00001189,女,63,,否,核心价值用户,
U00001190,女,30,,否,潜力发展用户,
U00001191,女,43,,否,低价值/流失用户,
U00001192,女,35,,否,高价值沉睡用户,
U00001193,女,42,,否,核心价值用户,
U00001194,女,36,,否,低价值/流失用户,
U00001195,男,51,,否,潜力发展用户,
U00001196,女,34,,是,核心价值用户,
U00001197,男,56,,是,核心价值用户,
U00001198,女,24,,否,核心价值用户,
U00001199,女,47,,否,核心价值用户,
U00001200,男,24,,否,潜力发展用户,
U00001201,男,37,,否,高价值沉睡用户,
U00001202,女,43,,是,低价值/流失用户,
U00001203,女,35,,否,核心价值用户,
U00001204,男,53,,否,低价值/流失用户,
U00001205,男,45,,否,高价值沉睡用户,
U00001206,女,19,,否,低价值/流失用户,
U00001207,女,34,,是,高价值沉睡用户,
U00001208,女,60,,否,潜力发展用户,
U00001209,女,25,,否,潜力发展用户,
U00001210,男,63,,是,高价值沉睡用户,
U00001211,女,23,,是,高价值沉睡用户,
U00001212,女,18,,否,潜力发展用户,
U00001213,女,41,,是,核心价值用户,
U00001214,男,35,,是,核心价值用户,
U00001215,女,50,,否,低价值/流失用户,
U00001216,男,43,,否,潜力发展用户,
U00001217,男,62,,否,高价值沉睡用户,
U00001218,女,35,,否,核心价值用户,
U00001219,女,40,,否,低价值/流失用户,
U00001220,女,37,,否,核心价值用户,
U00001221,女,63,,是,低价值/流失用户,
U00001222,女,22,,是,潜力发展用户,
U00001223,男,29,,否,潜力发展用户,
U00001224,男,60,,是,核心价值用户,
U00001225,女,24,,否,核心价值用户,
U00001226,女,22,,是,潜力发展用户,
U00001227,女,52,,是,核心价值用户,
U00001228,男,42,,是,潜力发展用户,
U00001229,女,42,,是,核心价值用户,
U00001230,男,59,,否,核心价值用户,
U00001231,女,41,,否,核心价值用户,
U00001232,女,61,,否,核心价值用户,
U00001233,男,29,,否,核心价值用户,
U00001234,女,30,,是,低价值/流失用户,
U00001235,女,32,,否,高价值沉睡用户,
U00001236,女,37,,否,高价值沉睡用户,
U00001237,男,58,,是,核心价值用户,
U00001238,女,28,,否,高价值沉睡用户,
U00001239,男,64,,否,高价值沉睡用户,
U00001240,女,42,,否,低价值/流失用户,
U00001241,女,31,,是,潜力发展用户,
U00001242,女,56,,否,高价值沉睡用户,
U00001243,女,25,,否,潜力发展用户,
U00001244,女,29,,是,高价值沉睡用户,
U00001245,女,18,,否,高价值沉睡用户,
U00001246,女,31,,否,高价值沉睡用户,
U00001247,女,48,,否,潜力发展用户,
U00001248,女,35,,是,潜力发展用户,
U00001249,女,42,,是,核心价值用户,
U00001250,女,55,,是,核心价值用户,
U00001251,男,40,,否,潜力发展用户,
U00001252,女,49,,否,潜力发展用户,
U00001253,女,62,,否,核心价值用户,
U00001254,女,19,,否,潜力发展用户,
U00001255,女,46,,否,核心价值用户,
U00001256,男,55,,否,核心价值用户,
U00001257,男,47,,否,低价值/流失用户,
U00001258,男,19,,是,核心价值用户,
U00001259,女,65,,否,核心价值用户,
U00001260,女,44,,否,潜力发展用户,
U00001261,男,30,,否,潜力发展用户,
U00001262,男,21,,否,核心价值用户,
U00001263,女,65,,否,核心价值用户,
U00001264,女,45,,否,高价值沉睡用户,
U00001265,女,30,,否,核心价值用户,
U00001266,女,23,,是,潜力发展用户,
U00001267,女,25,,否,核心价值用户,
U00001268,男,42,,否,核心价值用户,
U00001269,男,32,,是,核心价值用户,
U00001270,女,46,,否,潜力发展用户,
U00001271,女,52,,是,潜力发展用户,
U00001272,女,51,,否,潜力发展用户,
U00001273,女,36,,否,核心价值用户,
U00001274,女,49,,否,高价值沉睡用户,
U00001275,男,24,,否,高价值沉睡用户,
U00001276,女,62,,否,核心价值用户,
U00001277,男,39,,否,核心价值用户,
U00001278,女,38,,否,潜力发展用户,
U00001279,女,25,,否,核心价值用户,
U00001280,女,62,,否,核心价值用户,
U00001281,女,32,,否,潜力发展用户,
U00001282,女,40,,是,核心价值用户,
U00001283,女,64,,是,核心价值用户,
U00001284,女,22,,否,高价值沉睡用户,
U00001285,女,60,,是,潜力发展用户,
U00001286,女,58,,否,高价值沉睡用户,
U00001287,女,43,,否,潜力发展用户,
U00001288,女,23,,否,核心价值用户,
U00001289,女,46,,否,核心价值用户,
U00001290,男,61,,否,潜力发展用户,
U00001291,男,49,,是,核心价值用户,
U00001292,女,46,,否,潜力发展用户,
U00001293,女,52,,否,高价值沉睡用户,
U00001294,女,25,,是,核心价值用户,
U00001295,女,61,,是,潜力发展用户,
U00001296,女,56,,是,低价值/流失用户,
U00001297,男,42,,否,潜力发展用户,
U00001298,女,22,,是,潜力发展用户,
U00001299,女,53,,否,低价值/流失用户,
U00001300,女,59,,否,核心价值用户,
U00001301,女,34,,是,高价值沉睡用户,
U00001302,男,32,,是,潜力发展用户,
U00001303,女,54,,否,核心价值用户,
U00001304,女,59,,否,潜力发展用户,
U00001305,女,30,,是,潜力发展用户,
U00001306,女,38,,是,潜力发展用户,
U00001307,女,24,,否,高价值沉睡用户,
U00001308,男,36,,否,核心价值用户,
U00001309,男,38,,是,核心价值用户,
U00001310,女,62,,否,潜力发展用户,
U00001311,女,28,,否,低价值/流失用户,
U00001312,女,33,,否,潜力发展用户,
U00001313,女,25,,是,低价值/流失用户,
U00001314,女,19,,否,高价值沉睡用户,
U00001315,女,29,,否,潜力发展用户,
U00001316,女,23,,是,高价值沉睡用户,
U00001317,女,55,,是,核心价值用户,
U00001318,男,28,,是,潜力发展用户,
U00001319,男,50,,否,低价值/流失用户,
U00001320,女,24,,是,高价值沉睡用户,
U00001321,女,45,,是,核心价值用户,
U00001322,女,52,,否,核心价值用户,
U00001323,男,59,,否,高价值沉睡用户,
U00001324,女,20,,是,核心价值用户,
U00001325,女,32,,否,潜力发展用户,
U00001326,女,29,,是,潜力发展用户,
U00001327,男,18,,是,核心价值用户,
U00001328,女,32,,是,核心价值用户,
U00001329,女,26,,否,核心价值用户,
U00001330,女,25,,否,潜力发展用户,
U00001331,女,26,,否,潜力发展用户,
U00001332,女,64,,是,高价值沉睡用户,
U00001333,女,51,,否,高价值沉睡用户,
U00001334,女,65,,是,低价值/流失用户,
U00001335,男,32,,否,核心价值用户,
U00001336,男,63,,否,潜力发展用户,
U00001337,女,52,,否,高价值沉睡用户,
U00001338,女,50,,是,高价值沉睡用户,
U00001339,男,64,,否,高价值沉睡用户,
U00001340,女,48,,否,核心价值用户,
U00001341,女,30,,否,核心价值用户,
U00001342,女,38,,否,高价值沉睡用户,
U00001343,女,33,,是,潜力发展用户,
U00001344,女,55,,是,高价值沉睡用户,
U00001345,女,64,,否,核心价值用户,
U00001346,女,19,,否,核心价值用户,
U00001347,女,19,,是,核心价值用户,
U00001348,女,34,,否,核心价值用户,
U00001349,女,49,,否,低价值/流失用户,
U00001350,女,44,,是,高价值沉睡用户,
U00001351,女,21,,是,核心价值用户,
U00001352,男,18,,否,潜力发展用户,
U00001353,男,21,,是,核心价值用户,
U00001354,女,41,,是,潜力发展用户,
U00001355,女,38,,否,潜力发展用户,
U00001356,男,20,,否,核心价值用户,
U00001357,女,35,,是,高价值沉睡用户,
U00001358,男,26,,否,潜力发展用户,
U00001359,男,60,,是,潜力发展用户,
U00001360,男,51,,是,潜力发展用户,
U00001361,男,20,,是,核心价值用户,
U00001362,女,42,,是,高价值沉睡用户,
U00001363,男,59,,是,核心价值用户,
U00001364,女,26,,是,低价值/流失用户,
U00001365,男,60,,是,潜力发展用户,
U00001366,女,29,,否,核心价值用户,
U00001367,女,43,,否,高价值沉睡用户,
U00001368,男,48,,是,核心价值用户,
U00001369,女,32,,否,高价值沉睡用户,
U00001370,女,57,,否,潜力发展用户,
U00001371,男,63,,否,潜力发展用户,
U00001372,男,51,,否,潜力发展用户,
U00001373,女,51,,是,核心价值用户,
U00001374,女,45,,否,高价值沉睡用户,
U00001375,女,53,,是,高价值沉睡用户,
U00001376,女,60,,是,高价值沉睡用户,
U00001377,女,39,,否,潜力发展用户,
U00001378,女,28,,否,潜力发展用户,
U00001379,女,58,,是,核心价值用户,
U00001380,女,28,,是,潜力发展用户,
U00001381,女,38,,是,低价值/流失用户,
U00001382,女,38,,是,核心价值用户,
U00001383,女,45,,否,潜力发展用户,
U00001384,女,57,,否,低价值/流失用户,
U00001385,男,29,,是,高价值沉睡用户,
U00001386,女,60,,否,核心价值用户,
U00001387,男,63,,否,潜力发展用户,
U00001388,女,36,,否,核心价值用户,
U00001389,女,22,,是,高价值沉睡用户,
U00001390,女,57,,否,高价值沉睡用户,
U00001391,女,26,,是,高价值沉睡用户,
U00001392,女,58,,否,高价值沉睡用户,
U00001393,女,58,,否,潜力发展用户,
U00001394,女,61,,否,核心价值用户,
U00001395,女,46,,否,潜力发展用户,
U00001396,男,54,,是,潜力发展用户,
U00001397,女,31,,否,潜力发展用户,
U00001398,男,20,,否,高价值沉睡用户,
U00001399,女,48,,否,潜力发展用户,
U00001400,女,25,,是,高价值沉睡用户,
U00001401,女,44,,否,高价值沉睡用户,
U00001402,女,31,,否,高价值沉睡用户,
U00001403,男,31,,否,潜力发展用户,
U00001404,男,55,,是,低价值/流失用户,
U00001405,女,63,,否,核心价值用户,
U00001406,女,56,,是,核心价值用户,
U00001407,女,24,,否,核心价值用户,
U00001408,女,41,,是,潜力发展用户,
U00001409,女,62,,是,高价值沉睡用户,
U00001410,女,44,,是,核心价值用户,
U00001411,女,27,,否,核心价值用户,
U00001412,女,42,,否,核心价值用户,
U00001413,男,34,,是,高价值沉睡用户,
U00001414,男,29,,否,潜力发展用户,
U00001415,男,62,,否,核心价值用户,
U00001416,女,28,,是,核心价值用户,
U00001417,男,44,,是,高价值沉睡用户,
U00001418,女,57,,否,高价值沉睡用户,
U00001419,女,42,,是,潜力发展用户,
U00001420,女,60,,否,高价值沉睡用户,
U00001421,女,54,,否,核心价值用户,
U00001422,女,39,,是,高价值沉睡用户,
U00001423,女,62,,否,核心价值用户,
U00001424,女,63,,是,低价值/流失用户,
U00001425,女,63,,是,低价值/流失用户,
U00001426,女,47,,是,低价值/流失用户,
U00001427,女,50,,是,高价值沉睡用户,
U00001428,男,31,,否,潜力发展用户,
U00001429,女,46,,是,潜力发展用户,
U00001430,女,24,,否,核心价值用户,
U00001431,女,53,,否,潜力发展用户,
U00001432,女,22,,否,潜力发展用户,
U00001433,女,18,,否,高价值沉睡用户,
U00001434,女,64,,否,高价值沉睡用户,
U00001435,男,21,,否,核心价值用户,
U00001436,女,57,,否,高价值沉睡用户,
U00001437,女,50,,否,核心价值用户,
U00001438,女,49,,否,潜力发展用户,
U00001439,女,56,,否,高价值沉睡用户,
U00001440,女,60,,否,高价值沉睡用户,
U00001441,女,62,,否,潜力发展用户,
U00001442,女,59,,否,潜力发展用户,
U00001443,女,63,,否,高价值沉睡用户,
U00001444,男,57,,是,低价值/流失用户,
U00001445,女,25,,否,高价值沉睡用户,
U00001446,男,49,,是,潜力发展用户,
U00001447,女,43,,否,核心价值用户,
U00001448,女,54,,否,核心价值用户,
U00001449,女,29,,否,潜力发展用户,
U00001450,女,37,,否,潜力发展用户,
U00001451,女,33,,是,潜力发展用户,
U00001452,女,62,,是,高价值沉睡用户,
U00001453,女,51,,否,高价值沉睡用户,
U00001454,女,63,,否,潜力发展用户,
U00001455,女,35,,是,潜力发展用户,
U00001456,女,29,,是,低价值/流失用户,
U00001457,男,38,,否,潜力发展用户,
U00001458,女,25,,是,核心价值用户,
U00001459,女,62,,否,高价值沉睡用户,
U00001460,女,41,,否,高价值沉睡用户,
U00001461,男,54,,否,高价值沉睡用户,
U00001462,女,56,,否,高价值沉睡用户,
U00001463,女,44,,是,低价值/流失用户,
U00001464,女,29,,否,核心价值用户,
U00001465,女,56,,是,核心价值用户,
U00001466,女,60,,否,核心价值用户,
U00001467,女,48,,否,核心价值用户,
U00001468,女,47,,否,核心价值用户,
U00001469,女,35,,否,核心价值用户,
U00001470,女,64,,是,高价值沉睡用户,
U00001471,女,43,,否,潜力发展用户,
U00001472,女,62,,是,高价值沉睡用户,
U00001473,女,65,,是,潜力发展用户,
U00001474,女,53,,否,低价值/流失用户,
U00001475,女,37,,否,潜力发展用户,
U00001476,女,60,,否,核心价值用户,
U00001477,女,50,,否,核心价值用户,
U00001478,女,41,,是,高价值沉睡用户,
U00001479,女,62,,是,高价值沉睡用户,
U00001480,女,24,,是,低价值/流失用户,
U00001481,男,50,,是,潜力发展用户,
U00001482,女,42,,否,潜力发展用户,
U00001483,女,29,,是,潜力发展用户,
U00001484,女,21,,否,高价值沉睡用户,
U00001485,女,34,,是,潜力发展用户,
U00001486,女,22,,是,低价值/流失用户,
U00001487,女,38,,是,低价值/流失用户,
U00001488,女,35,,是,潜力发展用户,
U00001489,男,19,,否,潜力发展用户,
U00001490,男,56,,是,核心价值用户,
U00001491,女,63,,否,潜力发展用户,
U00001492,女,19,,否,核心价值用户,
U00001493,女,45,,否,潜力发展用户,
U00001494,女,59,,否,核心价值用户,
U00001495,女,22,,否,高价值沉睡用户,
U00001496,男,35,,是,高价值沉睡用户,
U00001497,女,23,,否,高价值沉睡用户,
U00001498,女,55,,是,潜力发展用户,
U00001499,女,59,,否,低价值/流失用户,
U00001500,女,23,,否,核心价值用户,
U00001501,女,40,,否,潜力发展用户,
U00001502,女,57,,是,高价值沉睡用户,
U00001503,男,30,,否,核心价值用户,
U00001504,女,28,,是,核心价值用户,
U00001505,女,49,,否,低价值/流失用户,
U00001506,男,36,,是,潜力发展用户,
U00001507,女,20,,否,核心价值用户,
U00001508,女,33,,是,核心价值用户,
U00001509,女,46,,否,潜力发展用户,
U00001510,男,19,,否,低价值/流失用户,
U00001511,男,37,,否,核心价值用户,
U00001512,男,64,,否,高价值沉睡用户,
U00001513,女,34,,否,高价值沉睡用户,
U00001514,女,49,,是,潜力发展用户,
U00001515,男,43,,否,低价值/流失用户,
U00001516,女,39,,否,高价值沉睡用户,
U00001517,女,55,,是,潜力发展用户,
U00001518,女,54,,否,潜力发展用户,
U00001519,男,51,,是,潜力发展用户,
U00001520,女,38,,是,高价值沉睡用户,
U00001521,女,63,,否,低价值/流失用户,
U00001522,女,28,,是,潜力发展用户,
U00001523,女,54,,否,潜力发展用户,
U00001524,女,34,,否,核心价值用户,
U00001525,男,45,,否,核心价值用户,
U00001526,女,20,,是,核心价值用户,
U00001527,女,53,,否,核心价值用户,
U00001528,女,46,,是,潜力发展用户,
U00001529,男,49,,是,潜力发展用户,
U00001530,女,58,,否,潜力发展用户,
U00001531,女,33,,否,高价值沉睡用户,
U00001532,女,50,,是,潜力发展用户,
U00001533,女,57,,否,核心价值用户,
U00001534,女,42,,是,高价值沉睡用户,
U00001535,女,19,,是,潜力发展用户,
U00001536,男,57,,是,低价值/流失用户,
U00001537,男,60,,是,核心价值用户,
U00001538,男,52,,是,潜力发展用户,
U00001539,女,54,,否,高价值沉睡用户,
U00001540,女,53,,否,潜力发展用户,
U00001541,女,49,,是,低价值/流失用户,
U00001542,女,29,,否,潜力发展用户,
U00001543,女,21,,是,核心价值用户,
U00001544,男,62,,是,低价值/流失用户,
U00001545,男,51,,否,高价值沉睡用户,
U00001546,女,60,,是,核心价值用户,
U00001547,男,41,,是,核心价值用户,
U00001548,女,62,,是,低价值/流失用户,
U00001549,女,40,,否,潜力发展用户,
U00001550,女,41,,否,核心价值用户,
U00001551,女,21,,否,潜力发展用户,
U00001552,男,29,,否,高价值沉睡用户,
U00001553,女,35,,否,潜力发展用户,
U00001554,女,30,,否,核心价值用户,
U00001555,女,62,,否,核心价值用户,
U00001556,女,41,,否,核心价值用户,
U00001557,男,46,,是,低价值/流失用户,
U00001558,女,26,,是,潜力发展用户,
U00001559,女,52,,否,低价值/流失用户,
U00001560,女,39,,否,潜力发展用户,
U00001561,女,34,,是,核心价值用户,
U00001562,男,42,,是,核心价值用户,
U00001563,女,47,,否,核心价值用户,
U00001564,女,50,,否,核心价值用户,
U00001565,女,59,,否,核心价值用户,
U00001566,女,40,,否,核心价值用户,
U00001567,女,46,,否,潜力发展用户,
U00001568,女,47,,是,核心价值用户,
U00001569,男,22,,否,低价值/流失用户,
U00001570,女,28,,是,高价值沉睡用户,
U00001571,女,63,,否,潜力发展用户,
U00001572,女,54,,是,低价值/流失用户,
U00001573,女,25,,是,核心价值用户,
U00001574,女,40,,否,核心价值用户,
U00001575,男,61,,是,潜力发展用户,
U00001576,男,47,,否,潜力发展用户,
U00001577,女,62,,是,低价值/流失用户,
U00001578,女,33,,否,低价值/流失用户,
U00001579,女,28,,否,核心价值用户,
U00001580,男,40,,否,核心价值用户,
U00001581,男,28,,否,低价值/流失用户,
U00001582,女,37,,是,潜力发展用户,
U00001583,男,55,,是,核心价值用户,
U00001584,男,63,,是,高价值沉睡用户,
U00001585,女,41,,否,高价值沉睡用户,
U00001586,女,41,,否,低价值/流失用户,
U00001587,男,37,,否,高价值沉睡用户,
U00001588,女,48,,是,高价值沉睡用户,
U00001589,男,61,,否,潜力发展用户,
U00001590,男,25,,否,核心价值用户,
U00001591,女,61,,是,潜力发展用户,
U00001592,女,48,,是,潜力发展用户,
U00001593,男,21,,否,潜力发展用户,
U00001594,女,65,,否,低价值/流失用户,
U00001595,女,40,,是,核心价值用户,
U00001596,女,60,,是,高价值沉睡用户,
U00001597,女,31,,否,潜力发展用户,
U00001598,男,52,,否,核心价值用户,
U00001599,女,64,,否,低价值/流失用户,
U00001600,男,58,,是,高价值沉睡用户,
U00001601,男,48,,否,潜力发展用户,
U00001602,男,49,,否,核心价值用户,
U00001603,男,46,,是,低价值/流失用户,
U00001604,女,49,,否,高价值沉睡用户,
U00001605,男,41,,否,核心价值用户,
U00001606,男,22,,否,潜力发展用户,
U00001607,男,37,,是,高价值沉睡用户,
U00001608,女,58,,否,潜力发展用户,
U00001609,女,63,,否,核心价值用户,
U00001610,女,25,,否,潜力发展用户,
U00001611,女,20,,否,潜力发展用户,
U00001612,女,35,,是,高价值沉睡用户,
U00001613,女,64,,是,高价值沉睡用户,
U00001614,男,57,,否,低价值/流失用户,
U00001615,女,51,,否,高价值沉睡用户,
U00001616,女,64,,是,潜力发展用户,
U00001617,男,63,,否,潜力发展用户,
U00001618,女,55,,是,核心价值用户,
U00001619,女,21,,否,核心价值用户,
U00001620,男,44,,是,高价值沉睡用户,
U00001621,女,54,,是,潜力发展用户,
U00001622,女,31,,否,高价值沉睡用户,
U00001623,男,44,,否,潜力发展用户,
U00001624,女,30,,否,低价值/流失用户,
U00001625,男,44,,否,高价值沉睡用户,
U00001626,男,31,,是,潜力发展用户,
U00001627,女,44,,是,潜力发展用户,
U00001628,女,25,,否,潜力发展用户,
U00001629,女,56,,否,低价值/流失用户,
U00001630,男,39,,否,高价值沉睡用户,
U00001631,女,43,,是,高价值沉睡用户,
U00001632,男,49,,否,高价值沉睡用户,
U00001633,女,56,,是,高价值沉睡用户,
U00001634,女,38,,否,潜力发展用户,
U00001635,女,23,,否,高价值沉睡用户,
U00001636,男,40,,否,潜力发展用户,
U00001637,男,58,,否,低价值/流失用户,
U00001638,女,65,,否,高价值沉睡用户,
U00001639,女,63,,否,低价值/流失用户,
U00001640,男,64,,否,潜力发展用户,
U00001641,男,19,,否,高价值沉睡用户,
U00001642,女,60,,否,核心价值用户,
U00001643,男,27,,否,潜力发展用户,
U00001644,女,20,,否,低价值/流失用户,
U00001645,女,41,,是,高价值沉睡用户,
U00001646,男,60,,否,潜力发展用户,
U00001647,男,18,,是,潜力发展用户,
U00001648,女,23,,否,核心价值用户,
U00001649,女,31,,否,潜力发展用户,
U00001650,女,64,,是,潜力发展用户,
U00001651,男,63,,否,核心价值用户,
U00001652,男,63,,否,高价值沉睡用户,
U00001653,男,43,,是,核心价值用户,
U00001654,女,56,,是,低价值/流失用户,
U00001655,男,53,,否,高价值沉睡用户,
U00001656,男,65,,是,核心价值用户,
U00001657,男,65,,是,核心价值用户,
U00001658,男,36,,是,潜力发展用户,
U00001659,女,28,,否,潜力发展用户,
U00001660,女,41,,否,高价值沉睡用户,
U00001661,女,55,,是,核心价值用户,
U00001662,女,22,,否,潜力发展用户,
U00001663,男,19,,是,高价值沉睡用户,
U00001664,女,41,,是,低价值/流失用户,
U00001665,男,47,,是,高价值沉睡用户,
U00001666,女,42,,是,高价值沉睡用户,
U00001667,女,20,,是,潜力发展用户,
U00001668,女,38,,是,低价值/流失用户,
U00001669,女,18,,否,核心价值用户,
U00001670,女,63,,否,低价值/流失用户,
U00001671,女,53,,是,潜力发展用户,
U00001672,女,48,,否,潜力发展用户,
U00001673,女,34,,否,核心价值用户,
U00001674,男,25,,是,核心价值用户,
U00001675,女,18,,否,潜力发展用户,
U00001676,男,29,,否,低价值/流失用户,
U00001677,女,24,,是,低价值/流失用户,
U00001678,女,29,,否,潜力发展用户,
U00001679,女,30,,否,潜力发展用户,
U00001680,男,61,,否,高价值沉睡用户,
U00001681,女,18,,否,核心价值用户,
U00001682,男,38,,否,低价值/流失用户,
U00001683,女,21,,否,潜力发展用户,
U00001684,男,30,,否,高价值沉睡用户,
U00001685,女,42,,否,高价值沉睡用户,
U00001686,女,24,,否,低价值/流失用户,
U00001687,女,52,,否,核心价值用户,
U00001688,男,60,,否,高价值沉睡用户,
U00001689,女,59,,否,高价值沉睡用户,
U00001690,女,43,,否,核心价值用户,
U00001691,女,19,,否,高价值沉睡用户,
U00001692,女,65,,是,潜力发展用户,
U00001693,女,51,,否,核心价值用户,
U00001694,女,18,,是,潜力发展用户,
U00001695,女,24,,是,高价值沉睡用户,
U00001696,女,59,,否,核心价值用户,
U00001697,女,21,,否,核心价值用户,
U00001698,女,38,,否,潜力发展用户,
U00001699,女,34,,否,核心价值用户,
U00001700,女,54,,是,核心价值用户,
U00001701,女,62,,是,潜力发展用户,
U00001702,女,18,,否,潜力发展用户,
U00001703,女,37,,是,核心价值用户,
U00001704,男,30,,否,潜力发展用户,
U00001705,男,33,,否,潜力发展用户,
U00001706,女,31,,是,潜力发展用户,
U00001707,男,43,,否,高价值沉睡用户,
U00001708,女,23,,是,低价值/流失用户,
U00001709,女,50,,是,潜力发展用户,
U00001710,女,54,,否,核心价值用户,
U00001711,女,37,,是,高价值沉睡用户,
U00001712,女,21,,否,潜力发展用户,
U00001713,男,31,,否,潜力发展用户,
U00001714,女,59,,否,潜力发展用户,
U00001715,男,22,,是,潜力发展用户,
U00001716,女,52,,是,高价值沉睡用户,
U00001717,女,32,,是,核心价值用户,
U00001718,女,61,,否,潜力发展用户,
U00001719,男,63,,否,潜力发展用户,
U00001720,女,35,,是,核心价值用户,
U00001721,女,22,,是,潜力发展用户,
U00001722,男,63,,否,核心价值用户,
U00001723,女,48,,否,潜力发展用户,
U00001724,女,38,,否,潜力发展用户,
U00001725,男,60,,否,潜力发展用户,
